id,name,rating
1970324837383878,Melas Lara Hotel,9.2
1970324837383879,IC Hotels Green Palace,9.2
1970324837383880,Barut Lara Collection,9.6
1970324837383881,IC Hotels Residence,9.4
1970324837383882,IC Hotels Airport,8.8
1970324837383883,Grand Park Lara,9
1970324837383884,Bayou Villas Lara Antalya,10
1970324837383885,Litore Resort Hotel & Spa,9.2
1970324837383886,Senza Garden Holiday Club,7.4
1970324837383887,Azura Deluxe Resort & Spa Hotel,8.8
1970324837383888,Atlas Beach Hotel & Spa (Nonalcohol),8.2
1970324837383889,Aska Bayview Resort,8.6
1970324837383890,Alan Xafira Deluxe Resort & Spa,7.2
1970324837383891,Granada Luxury Red (Adult Only +16),8
1970324837383892,Mukarnas Spa  & Resort Hotel,9.2
1970324837383893,Modern Saraylar Hotel (Nonalcohol),8.4
1970324837383894,Senza The Inn Resort & Spa,7.6
1970324837383895,Senza Grand Santana Hotel,8
1970324837383896,Incekum West Hotel,8.4
1970324837384234,Ria Suites Hotel,
1970324837383860,The Green Park Ankara,8.2
1970324837383861,Venezia Palace Deluxe Resort Hotel,8.6
1970324837383862,Aska Lara Resort & Spa,9.2
1970324837383863,Wyndham Garden Lara(Ex. Lara Family Club),9
1970324837383864,Royal Seginus,8.8
1970324837383865,Concorde De Luxe Resort,9.6
1970324837383866,Kremlin Palace,9.4
1970324837383867,Delphin Be Grand Resort,9.2
1970324837383868,Titanic Deluxe Lara,9.4
1970324837383869,Limak Lara De Luxe Resort,9.4
1970324837383870,Miracle Resort Hotel,9
1970324837383871,Delphin Diva,9.4
1970324837383872,Delphin Palace Antalya,9.4
1970324837383873,Royal Wings Hotel,9
1970324837383874,Royal Holiday Palace,9
1970324837383875,Delphin Imperial,9.2
1970324837383876,Titanic Mardan Palace,9.6
1970324837383877,Baia Lara Hotel,9
1970324837383897,Haydarpasha Palace,
1970324837383898,White City Resort Hotel,
1970324837383899,Aydinbey Gold Dreams,
1970324837383900,Long Beach,
1970324837383901,Stella Beach Hotel,
1970324837383902,Meryan Hotel,
1970324837383903,Botanik Platinum Hotel,
1970324837383904,Delphin Deluxe,
1970324837383905,Botanik Hotel Resort,
1970324837383906,Galeri Resort Hotel,
1970324837383907,Granada Luxury Okurcalar,
1970324837383908,Orange County Alanya - Family Concept,
1970324837383909,Sealife Buket Beach Hotel,
1970324837383910,Aska Just In Beach,
1970324837383911,Granada Luxury Beach,
1970324837383912,Algora Halal Hotel & Spa (Nonalcohol),
1970324837383913,Bera Alanya (Nonalcohol),
1970324837383914,Saphir Hotel,
1970324837383915,Hotel Titan Select,
1970324837383916,Saphir Resort & Spa,
1970324837383917,White City Beach Hotel (Adult Only +16),
1970324837383918,Club Hotel Titan,
1970324837383919,Alp Pasa Hotel,
1970324837383920,The Norm Oriental (Ex. Asteria Kemer Resort),
1970324837383921,Kilikya Resort Camyuva,
1970324837383922,Gural Premier Tekirova,
1970324837383923,Maxx Royal Kemer Resort,
1970324837383924,Dobedan World Palace (Ex. Alva Donna World Palace),
1970324837383925,Limak Limra Hotel,
1970324837383926,Akra Kemer,
1970324837383927,Sealife Kemer Resort Hotel,
1970324837383928,Orange County Kemer ,
1970324837383929,DoubleTree by Hilton Antalya Kemer,
1970324837383930,Corendon Playa Kemer,
1970324837383931,Aydinbey Siu Collection,
1970324837383932,Akka Antedon,
1970324837383933,Akka Alinda,
1970324837383934,Juju Premier Palace (Ex.Amara Premier Palace),
1970324837383935,Karmir Resort & Spa,
1970324837383936,NG Phaselis Bay,
1970324837383937,Ulusoy Kemer Holiday Club,
1970324837383938,Baia Salima Kemer,
1970324837383939,Mirage Park Resort,
1970324837383940,Kilikya Palace Goynuk,
1970324837383941,Seven Seas Hotel Life,
1970324837383942,Royal Taj Mahal,
1970324837383943,Barut B Suites,
1970324837383944,Sidekum Hotel,
1970324837383945,Villa Side Hotel,
1970324837383946,Villa Side Residence,
1970324837383947,Seamelia Beach Resort Hotel & Spa,
1970324837383948,Royal Dragon Hotel,
1970324837383949,Ali Bey Resort Sorgun,
1970324837383950,Ali Bey Park Manavgat,
1970324837383951,Ali Bey Club Manavgat,
1970324837383952,Calido Maris Hotel,
1970324837383953,Megasaray Resort Side,
1970324837383954,Selectum Family Comfort Side,
1970324837383955,Alexia Resort & SPA,
1970324837383956,Ozlem Garden Hotel,
1970324837383957,Melas Holiday Village,
1970324837383958,Barut Arum Collection,
1970324837383959,Barut Acanthus & Cennet Collection,
1970324837383960,Melas Resort Hotel,
1970324837383961,Barut Hemera,
1970324837383962,Sunmelia Beach Resort Hotel & Spa,
1970324837383963,Sunrise Resort Hotel,
1970324837383964,Starlight Resort Hotel,
1970324837383965,Selge Beach Resort & Spa (Nonalcohol),
1970324837383966,Club Turan Prince,
1970324837383967,Club Nena,
1970324837383968,Selectum Family Resort Side,
1970324837383969,Bosphorus Sorgun Hotel,
1970324837383970,Barut Goia (Ex.Barut Sunwing Side Beach),
1970324837383971,Linda Resort Hotel,
1970324837383972,Voyage Sorgun,
1970324837383973,Marvida Family Eco (Ex.Otium Family Eco  Club),
1970324837383974,Cenger Beach Resort & Spa,
1970324837383975,Dobedan Beach Resort Comfort Side (Ex. Brand Alva Donna Beach Resort Comfort Side),
1970324837383976,Royal Alhambra Palace,
1970324837383977,Aishen K Club Kamelya Collection,
1970324837383978,Amelia Beach Resort Hotel & Spa,
1970324837383979,Liu Resort,
1970324837383980,Sentido Kamelya Selin Hotel,
1970324837383981,Lago Hotel,
1970324837383982,Miramare Beach Hotel,
1970324837383983,Selectum For Two Side (Adult Only +16),
1970324837383984,Sunrise Queen Luxury Resort & Spa,
1970324837383985,Akra Antalya ,
1970324837383986,Sealife Family Resort Hotel,
1970324837383987,Porto Bello Hotel Resort & Spa,
1970324837383988,Antalya Adonis Hotel,
1970324837383989,Ramada Plaza Antalya,
1970324837383990,Akra V Hotel,
1970324837383991,The Marmara Antalya,
1970324837383992,Falcon Hotel,
1970324837383993,Holiday Inn Antalya,
1970324837383994,Megasaray West Beach Antalya,
1970324837383995,Antalya Nun Hotel,
1970324837383996,Belconti Resort,
1970324837383997,Gural Premier Belek,
1970324837383998,Ethno Belek,
1970324837383999,Cornelia Diamond Golf Resort & Spa,
1970324837384000,Cornelia De Luxe Resort,
1970324837384001,Pine Beach Belek,
1970324837384002,IC Hotels Santai Family Resort,
1970324837384003,Sensitive Premium Resort & Spa,
1970324837384004,Kirman Belazur Resort & Spa Hotel,
1970324837384005,Orange County Belek - Family Concept,
1970324837384006,Dobedan Exclusive Hotel & Spa (Ex. Brand Alva Donna Exclusive Hotel&Spa),
1970324837384007,Aydinbey Famous Resort,
1970324837384008,Megasaray Club Belek,
1970324837384009,Titanic Deluxe Golf Belek,
1970324837384010,The Land Of Legends Kingdom,
1970324837384011,Adora Resort Hotel,
1970324837384012,Papillon Belvil Hotel,
1970324837384013,Sirene Belek Hotel,
1970324837384014,Kempinski Hotel The Dome Belek,
1970324837384015,Calista  Luxury  Resort Hotel,
1970324837384016,Amon Hotels Belek (Adult Only +16),
1970324837384017,Cullinan Belek,
1970324837384018,Selectum Luxury Resort Belek,
1970324837384019,Maxx Royal Belek Golf Resort,
1970324837384020,Ela Excellence Resort Belek,
1970324837384021,Adam & Eve,
1970324837384022,Susesi Luxury Resort,
1970324837384023,Spice Hotel & Spa,
1970324837384024,Voyage Belek Golf & Spa,
1970324837384025,Papillon Zeugma Relaxury,
1970324837384026,Papillon Ayscha Hotel Resort & SPA,
1970324837384027,Limak Atlantis Hotel,
1970324837384028,Bellis Deluxe Hotel,
1970324837384029,Xanadu Resort Hotel,
1970324837384030,Limak Arcadia Sport Resort ,
1970324837384031,Selectum Family Resort Belek,
1970324837384032,Granada Luxury Belek,
