id,name,rating,hotel_id
1970324837383878,Melas Lara Hotel,9.2,241
1970324837383879,IC Hotels Green Palace,9.2,1525
1970324837383880,Barut Lara Collection,9.6,164
1970324837383881,IC Hotels Residence,9.4,2648
1970324837383882,IC Hotels Airport,8.8,2108
1970324837383883,Grand Park Lara,9,4752
1970324837383884,Bayou Villas Lara Antalya,10,2109502
1970324837383885,Litore Resort Hotel & Spa,9.2,365
1970324837383886,Senza Garden Holiday Club,7.4,764
1970324837383887,Azura Deluxe Resort & Spa Hotel,8.8,6020
1970324837383888,Atlas Beach Hotel & Spa (Nonalcohol),8.2,3640
1970324837383889,Aska Bayview Resort,8.6,2632
1970324837383890,Alan Xafira Deluxe Resort & Spa,7.2,5630
1970324837383891,Granada Luxury Red (Adult Only +16),8,2109565
1970324837383892,Mukarnas Spa  & Resort Hotel,9.2,2159
1970324837383893,Modern Saraylar Hotel (Nonalcohol),8.4,8448
1970324837383894,Senza The Inn Resort & Spa,7.6,4777
1970324837383895,Senza Grand Santana Hotel,8,1311
1970324837383896,Incekum West Hotel,8.4,917
1970324837384234,Ria Suites Hotel,,2109486
1970324837383860,The Green Park Ankara,8.2,6555
1970324837383861,Venezia Palace Deluxe Resort Hotel,8.6,1512
1970324837383862,Aska Lara Resort & Spa,9.2,299
1970324837383863,Wyndham Garden Lara(Ex. Lara Family Club),9,308
1970324837383864,Royal Seginus,8.8,411
1970324837383865,Concorde De Luxe Resort,9.6,141
1970324837383866,Kremlin Palace,9.4,134
1970324837383867,Delphin Be Grand Resort,9.2,135
1970324837383868,Titanic Deluxe Lara,9.4,131
1970324837383869,Limak Lara De Luxe Resort,9.4,185
1970324837383870,Miracle Resort Hotel,9,159
1970324837383871,Delphin Diva,9.4,147
1970324837383872,Delphin Palace Antalya,9.4,165
1970324837383873,Royal Wings Hotel,9,167
1970324837383874,Royal Holiday Palace,9,263
1970324837383875,Delphin Imperial,9.2,287
1970324837383876,Titanic Mardan Palace,9.6,229
1970324837383877,Baia Lara Hotel,9,237
1970324837383897,Haydarpasha Palace,,382
1970324837383898,White City Resort Hotel,,314
1970324837383899,Aydinbey Gold Dreams,,151
1970324837383900,Long Beach,,188
1970324837383901,Stella Beach Hotel,,2109465
1970324837383902,Meryan Hotel,,78
1970324837383903,Botanik Platinum Hotel,,329
1970324837383904,Delphin Deluxe,,96
1970324837383905,Botanik Hotel Resort,,36
1970324837383906,Galeri Resort Hotel,,37
1970324837383907,Granada Luxury Okurcalar,,38
1970324837383908,Orange County Alanya - Family Concept,,239
1970324837383909,Sealife Buket Beach Hotel,,50
1970324837383910,Aska Just In Beach,,39
1970324837383911,Granada Luxury Beach,,459
1970324837383912,Algora Halal Hotel & Spa (Nonalcohol),,479
1970324837383913,Bera Alanya (Nonalcohol),,2474
1970324837383914,Saphir Hotel,,40
1970324837383915,Hotel Titan Select,,242
1970324837383916,Saphir Resort & Spa,,226
1970324837383917,White City Beach Hotel (Adult Only +16),,152
1970324837383918,Club Hotel Titan,,41
1970324837383919,Alp Pasa Hotel,,89
1970324837383920,The Norm Oriental (Ex. Asteria Kemer Resort),,94
1970324837383921,Kilikya Resort Camyuva,,51
1970324837383922,Gural Premier Tekirova,,270
1970324837383923,Maxx Royal Kemer Resort,,55
1970324837383924,Dobedan World Palace (Ex. Alva Donna World Palace),,74
1970324837383925,Limak Limra Hotel,,79
1970324837383926,Akra Kemer,,137
1970324837383927,Sealife Kemer Resort Hotel,,161
1970324837383928,Orange County Kemer ,,179
1970324837383929,DoubleTree by Hilton Antalya Kemer,,1944
1970324837383930,Corendon Playa Kemer,,1606
1970324837383931,Aydinbey Siu Collection,,2109430
1970324837383932,Akka Antedon,,1971
1970324837383933,Akka Alinda,,880
