source,target
3659174697238678,3377699720527909
3659174697238709,3377699720527909
3659174697238678,3377699720527910
3659174697238709,3377699720527910
3659174697238678,3377699720527900
3659174697238709,3377699720527900
3659174697238679,3377699720527895
3659174697238710,3377699720527895
3659174697238679,3377699720527910
3659174697238710,3377699720527910
3659174697238679,3377699720527901
3659174697238710,3377699720527901
3659174697238680,3377699720527909
3659174697238711,3377699720527909
3659174697238680,3377699720527902
3659174697238711,3377699720527902
3659174697238680,3377699720527897
3659174697238711,3377699720527897
3659174697238680,3377699720527910
3659174697238711,3377699720527910
3659174697238681,3377699720527893
3659174697238712,3377699720527893
3659174697238681,3377699720527895
3659174697238712,3377699720527895
3659174697238681,3377699720527910
3659174697238712,3377699720527910
3659174697238682,3377699720527909
3659174697238713,3377699720527909
3659174697238682,3377699720527906
3659174697238713,3377699720527906
3659174697238682,3377699720527902
3659174697238713,3377699720527902
3659174697238683,3377699720527902
3659174697238714,3377699720527902
3659174697238683,3377699720527897
3659174697238714,3377699720527897
3659174697238683,3377699720527908
3659174697238714,3377699720527908
3659174697238683,3377699720527901
3659174697238714,3377699720527901
3659174697238683,3377699720527904
3659174697238714,3377699720527904
3659174697238683,3377699720527910
3659174697238714,3377699720527910
3659174697238684,3377699720527905
3659174697238715,3377699720527905
3659174697238684,3377699720527903
3659174697238715,3377699720527903
3659174697238684,3377699720527911
3659174697238715,3377699720527911
3659174697238684,3377699720527893
3659174697238715,3377699720527893
3659174697238684,3377699720527895
3659174697238715,3377699720527895
3659174697238684,3377699720527902
3659174697238715,3377699720527902
3659174697238685,3377699720527909
3659174697238716,3377699720527909
3659174697238685,3377699720527901
3659174697238716,3377699720527901
3659174697238685,3377699720527905
3659174697238716,3377699720527905
3659174697238685,3377699720527893
3659174697238716,3377699720527893
3659174697238685,3377699720527910
3659174697238716,3377699720527910
3659174697238685,3377699720527895
3659174697238716,3377699720527895
3659174697238686,3377699720527903
3659174697238717,3377699720527903
3659174697238686,3377699720527904
3659174697238717,3377699720527904
3659174697238686,3377699720527906
3659174697238717,3377699720527906
3659174697238687,3377699720527909
3659174697238718,3377699720527909
3659174697238687,3377699720527903
3659174697238718,3377699720527903
3659174697238687,3377699720527905
3659174697238718,3377699720527905
3659174697238687,3377699720527906
3659174697238718,3377699720527906
3659174697238688,3377699720527893
3659174697238719,3377699720527893
3659174697238688,3377699720527901
3659174697238719,3377699720527901
3659174697238688,3377699720527903
3659174697238719,3377699720527903
3659174697238688,3377699720527904
3659174697238719,3377699720527904
3659174697238688,3377699720527902
3659174697238719,3377699720527902
3659174697238689,3377699720527893
3659174697238720,3377699720527893
3659174697238689,3377699720527911
3659174697238720,3377699720527911
3659174697238689,3377699720527895
3659174697238720,3377699720527895
3659174697238690,3377699720527909
3659174697238721,3377699720527909
3659174697238690,3377699720527893
3659174697238721,3377699720527893
3659174697238690,3377699720527901
3659174697238721,3377699720527901
3659174697238691,3377699720527910
3659174697238722,3377699720527910
3659174697238691,3377699720527911
3659174697238722,3377699720527911
3659174697238691,3377699720527903
3659174697238722,3377699720527903
3659174697238691,3377699720527894
3659174697238722,3377699720527894
3659174697238691,3377699720527895
3659174697238722,3377699720527895
3659174697238692,3377699720527911
3659174697238723,3377699720527911
3659174697238692,3377699720527900
3659174697238723,3377699720527900
3659174697238692,3377699720527908
3659174697238723,3377699720527908
3659174697238692,3377699720527901
3659174697238723,3377699720527901
3659174697238693,3377699720527900
3659174697238724,3377699720527900
3659174697238693,3377699720527902
3659174697238724,3377699720527902
3659174697238693,3377699720527911
3659174697238724,3377699720527911
3659174697238693,3377699720527894
3659174697238724,3377699720527894
3659174697238694,3377699720527893
3659174697238725,3377699720527893
3659174697238694,3377699720527909
3659174697238725,3377699720527909
3659174697238694,3377699720527895
3659174697238725,3377699720527895
3659174697238694,3377699720527898
3659174697238725,3377699720527898
3659174697238694,3377699720527904
3659174697238725,3377699720527904
3659174697238694,3377699720527906
3659174697238725,3377699720527906
3659174697238695,3377699720527910
3659174697238726,3377699720527910
3659174697238695,3377699720527901
3659174697238726,3377699720527901
3659174697238695,3377699720527908
3659174697238726,3377699720527908
3659174697238695,3377699720527894
3659174697238726,3377699720527894
3659174697238695,3377699720527895
3659174697238726,3377699720527895
3659174697238696,3377699720527909
3659174697238727,3377699720527909
3659174697238696,3377699720527910
3659174697238727,3377699720527910
3659174697238696,3377699720527911
3659174697238727,3377699720527911
3659174697238696,3377699720527894
3659174697238727,3377699720527894
3659174697238696,3377699720527900
3659174697238727,3377699720527900
3659174697238697,3377699720527901
3659174697238728,3377699720527901
3659174697238697,3377699720527905
3659174697238728,3377699720527905
3659174697238697,3377699720527906
3659174697238728,3377699720527906
3659174697238697,3377699720527902
3659174697238728,3377699720527902
3659174697238697,3377699720527903
3659174697238728,3377699720527903
3659174697238697,3377699720527904
3659174697238728,3377699720527904
3659174697238698,3377699720527910
3659174697238729,3377699720527910
3659174697238698,3377699720527909
3659174697238729,3377699720527909
3659174697238698,3377699720527911
3659174697238729,3377699720527911
3659174697238699,3377699720527894
3659174697238730,3377699720527894
3659174697238699,3377699720527906
3659174697238730,3377699720527906
3659174697238699,3377699720527911
3659174697238730,3377699720527911
3659174697238699,3377699720527893
3659174697238730,3377699720527893
3659174697238699,3377699720527910
3659174697238730,3377699720527910
3659174697238699,3377699720527900
3659174697238730,3377699720527900
3659174697238700,3377699720527893
3659174697238731,3377699720527893
3659174697238700,3377699720527909
3659174697238731,3377699720527909
3659174697238700,3377699720527910
3659174697238731,3377699720527910
3659174697238700,3377699720527900
3659174697238731,3377699720527900
3659174697238700,3377699720527911
3659174697238731,3377699720527911
3659174697238701,3377699720527894
3659174697238732,3377699720527894
3659174697238701,3377699720527900
3659174697238732,3377699720527900
3659174697238701,3377699720527905
3659174697238732,3377699720527905
3659174697238701,3377699720527911
3659174697238732,3377699720527911
3659174697238702,3377699720527902
3659174697238733,3377699720527902
3659174697238702,3377699720527903
3659174697238733,3377699720527903
3659174697238702,3377699720527906
3659174697238733,3377699720527906
3659174697238702,3377699720527893
3659174697238733,3377699720527893
3659174697238702,3377699720527909
3659174697238733,3377699720527909
3659174697238702,3377699720527910
3659174697238733,3377699720527910
3659174697238703,3377699720527895
3659174697238734,3377699720527895
3659174697238703,3377699720527900
3659174697238734,3377699720527900
3659174697238703,3377699720527911
3659174697238734,3377699720527911
3659174697238703,3377699720527893
3659174697238734,3377699720527893
3659174697238703,3377699720527909
3659174697238734,3377699720527909
3659174697238704,3377699720527893
3659174697238735,3377699720527893
3659174697238704,3377699720527909
3659174697238735,3377699720527909
3659174697238704,3377699720527895
3659174697238735,3377699720527895
3659174697238705,3377699720527893
3659174697238736,3377699720527893
3659174697238705,3377699720527909
3659174697238736,3377699720527909
3659174697238705,3377699720527910
3659174697238736,3377699720527910
3659174697238705,3377699720527894
3659174697238736,3377699720527894
3659174697238705,3377699720527900
3659174697238736,3377699720527900
3659174697238705,3377699720527911
3659174697238736,3377699720527911
3659174697238706,3377699720527900
3659174697238737,3377699720527900
3659174697238706,3377699720527909
3659174697238737,3377699720527909
3659174697238706,3377699720527893
3659174697238737,3377699720527893
3659174697238706,3377699720527908
3659174697238737,3377699720527908
3659174697238706,3377699720527911
3659174697238737,3377699720527911
3659174697238707,3377699720527893
3659174697238738,3377699720527893
3659174697238707,3377699720527895
3659174697238738,3377699720527895
3659174697238707,3377699720527894
3659174697238738,3377699720527894
3659174697238707,3377699720527900
3659174697238738,3377699720527900
3659174697238707,3377699720527903
3659174697238738,3377699720527903
3659174697238707,3377699720527911
3659174697238738,3377699720527911
3659174697238708,3377699720527893
3659174697238739,3377699720527893
3659174697238708,3377699720527895
3659174697238739,3377699720527895
3659174697238708,3377699720527910
3659174697238739,3377699720527910
3659174697238708,3377699720527897
3659174697238739,3377699720527897
3659174697238708,3377699720527903
3659174697238739,3377699720527903
3659174697238708,3377699720527906
3659174697238739,3377699720527906
