source,target
1970324837383878,1125899907247363
1970324837383879,1125899907247363
1970324837383880,1125899907247363
1970324837383881,1125899907247363
1970324837383882,1125899907247363
1970324837383883,1125899907247363
1970324837383884,1125899907247363
1970324837383885,1125899907247364
1970324837383886,1125899907247364
1970324837383887,1125899907247364
1970324837383888,1125899907247364
1970324837383889,1125899907247364
1970324837383890,1125899907247364
1970324837383891,1125899907247364
1970324837383892,1125899907247364
1970324837383893,1125899907247364
1970324837383894,1125899907247364
1970324837383895,1125899907247364
1970324837383896,1125899907247364
1970324837384234,1125899907247375
1970324837383860,1125899907247362
1970324837383861,1125899907247363
1970324837383862,1125899907247363
1970324837383863,1125899907247363
1970324837383864,1125899907247363
1970324837383865,1125899907247363
1970324837383866,1125899907247363
1970324837383867,1125899907247363
1970324837383868,1125899907247363
1970324837383869,1125899907247363
1970324837383870,1125899907247363
1970324837383871,1125899907247363
1970324837383872,1125899907247363
1970324837383873,1125899907247363
1970324837383874,1125899907247363
1970324837383875,1125899907247363
1970324837383876,1125899907247363
1970324837383877,1125899907247363
1970324837383897,1125899907247364
1970324837383898,1125899907247364
1970324837383899,1125899907247364
1970324837383900,1125899907247364
1970324837383901,1125899907247364
1970324837383902,1125899907247364
1970324837383903,1125899907247364
1970324837383904,1125899907247364
1970324837383905,1125899907247364
1970324837383906,1125899907247364
1970324837383907,1125899907247364
1970324837383908,1125899907247364
1970324837383909,1125899907247364
1970324837383910,1125899907247364
1970324837383911,1125899907247364
1970324837383912,1125899907247364
1970324837383913,1125899907247364
1970324837383914,1125899907247364
1970324837383915,1125899907247364
1970324837383916,1125899907247364
1970324837383917,1125899907247364
1970324837383918,1125899907247364
1970324837383919,1125899907247367
1970324837383920,1125899907247365
1970324837383921,1125899907247365
1970324837383922,1125899907247365
1970324837383923,1125899907247365
1970324837383924,1125899907247365
1970324837383925,1125899907247365
1970324837383926,1125899907247365
1970324837383927,1125899907247365
1970324837383928,1125899907247365
1970324837383929,1125899907247365
1970324837383930,1125899907247365
1970324837383931,1125899907247365
1970324837383932,1125899907247365
1970324837383933,1125899907247365
1970324837383934,1125899907247365
1970324837383935,1125899907247365
1970324837383936,1125899907247365
1970324837383937,1125899907247365
1970324837383938,1125899907247365
1970324837383939,1125899907247365
1970324837383940,1125899907247365
1970324837383941,1125899907247365
1970324837383942,1125899907247366
1970324837383943,1125899907247366
1970324837383944,1125899907247366
1970324837383945,1125899907247366
1970324837383946,1125899907247366
1970324837383947,1125899907247366
1970324837383948,1125899907247366
1970324837383949,1125899907247366
1970324837383950,1125899907247366
1970324837383951,1125899907247366
1970324837383952,1125899907247366
1970324837383953,1125899907247366
1970324837383954,1125899907247366
1970324837383955,1125899907247366
1970324837383956,1125899907247366
1970324837383957,1125899907247366
1970324837383958,1125899907247366
1970324837383959,1125899907247366
1970324837383960,1125899907247366
1970324837383961,1125899907247366
1970324837383962,1125899907247366
1970324837383963,1125899907247366
1970324837383964,1125899907247366
1970324837383965,1125899907247366
1970324837383966,1125899907247366
1970324837383967,1125899907247366
1970324837383968,1125899907247366
1970324837383969,1125899907247366
1970324837383970,1125899907247366
1970324837383971,1125899907247366
1970324837383972,1125899907247366
1970324837383973,1125899907247366
1970324837383974,1125899907247366
1970324837383975,1125899907247366
1970324837383976,1125899907247366
1970324837383977,1125899907247366
1970324837383978,1125899907247366
1970324837383979,1125899907247366
1970324837383980,1125899907247366
1970324837383981,1125899907247366
1970324837383982,1125899907247366
1970324837383983,1125899907247366
1970324837383984,1125899907247366
1970324837383985,1125899907247367
1970324837383986,1125899907247367
1970324837383987,1125899907247367
1970324837383988,1125899907247367
1970324837383989,1125899907247367
1970324837383990,1125899907247367
1970324837383991,1125899907247367
1970324837383992,1125899907247367
1970324837383993,1125899907247367
1970324837383994,1125899907247367
1970324837383995,1125899907247367
1970324837383996,1125899907247368
1970324837383997,1125899907247368
1970324837383998,1125899907247368
1970324837383999,1125899907247368
